word,category,품사,valence,arousal,familiarity,prototypicality
불만,negative,명사,-1.645,1.1715,5.4,4.4
공포,negative,명사,-1.7355,1.806,5.29,4.31
신경질,negative,명사,-2.076,1.407,5.23,4.24
의심,negative,명사,-1.571,0.452,5.03,4.1
열등감,negative,명사,-1.9655,0.9385,5.03,4.04
근심걱정,negative,명사,-1.64,0.37,4.96,3.89
배신감,negative,명사,-2.3535,1.5435,4.93,4.0
반항심,negative,명사,-1.42,1.45,4.92,3.83
소외감,negative,명사,-2.072,-0.7615,4.89,3.9
자만심,negative,명사,-1.33,0.75,4.88,4.03
죄책감,negative,명사,-1.745,0.419,4.83,4.08
거부감,negative,명사,-1.9405,0.5915,4.82,4.26
유감,negative,명사,-1.28,0.16,4.79,4.11
패배감,negative,명사,-2.37,0.2,4.72,3.96
코웃음,negative,명사,-1.14,-0.08,4.69,3.34
반감,negative,명사,-1.83,1.48,4.66,4.24
절박감,negative,명사,-1.73,1.28,4.52,4.13
죄의식,negative,명사,-1.97,0.12,4.42,3.45
수치,negative,명사,-1.84,0.76,4.41,4.01
의혹,negative,명사,-1.28,0.51,4.41,3.34
원한,negative,명사,-2.054,1.578,4.36,3.72
상실감,negative,명사,-1.8635,-0.57,4.34,4.18
무력감,negative,명사,-2.0065,-1.3895,4.28,3.87
조바심,negative,명사,-1.2,1.21,4.24,4.04
울화통,negative,명사,-2.71,1.93,4.14,3.75
가책,negative,명사,-1.7685,0.629,4.13,3.45
고립감,negative,명사,-1.92,-0.72,4.13,3.52
울분,negative,명사,-1.63,1.74,4.13,3.97
굴욕,negative,명사,-2.23,1.28,4.1,3.71
위압감,negative,명사,-1.68,0.98,4.08,3.62
비애,negative,명사,-1.29,0.41,3.97,3.66
분통,negative,명사,-2.07,1.51,3.95,3.66
걱정하다,negative,술어,-1.06,-0.06,6.02,4.88
미안하다,negative,술어,-1.09,0.01,5.97,5.02
짜증내다,negative,술어,-1.94,0.88,5.87,4.73
슬프다,negative,술어,-1.31,-0.56,5.85,5.08
후회하다,negative,술어,-1.55,0.06,5.82,4.74
무섭다,negative,술어,-1.42,1.39,5.82,5.06
우울하다,negative,술어,-1.51,-1.2,5.81,4.94
서운하다,negative,술어,-1.16,-0.82,5.76,4.69
불안하다,negative,술어,-1.49,0.88,5.75,4.69
섭섭하다,negative,술어,-1.53,-0.17,5.74,4.9
